Link_Text,Link_URL
"

9 September 2024
KPU Akan Rapat dengan DPR Selasa Besok, Bahas Soal Kotak Kosong pada Pilkada 2024
",http://nasional.kompas.com/read/2024/09/09/12060871/kpu-akan-rapat-dengan-dpr-selasa-besok-bahas-soal-kotak-kosong-pada-pilkada
"

9 September 2024
Deretan Purnawirawan Jenderal di Belakang Ahmad Luthfi-Taj Yasin dalam Pilkada Jateng
",http://nasional.kompas.com/read/2024/09/09/11535281/deretan-purnawirawan-jenderal-di-belakang-ahmad-luthfi-taj-yasin-dalam
"

9 September 2024
Jelang Pilkada Jabar 2024, Ronal Surapradja: Tidak Siap, tapi Harus Siap
",http://bandung.kompas.com/read/2024/09/09/115157678/jelang-pilkada-jabar-2024-ronal-surapradja-tidak-siap-tapi-harus-siap
"

9 September 2024
Ada Kesewenangan DPP Parpol di Balik Fenomena Calon Tunggal Pilkada 2024
",http://nasional.kompas.com/read/2024/09/09/11132151/ada-kesewenangan-dpp-parpol-di-balik-fenomena-calon-tunggal-pilkada-2024
"

9 September 2024
Profil Kun Wardana, Bakal Cawagub Jakarta 2024 dari Jalur Independen
",http://megapolitan.kompas.com/read/2024/09/09/11012321/profil-kun-wardana-bakal-cawagub-jakarta-2024-dari-jalur-independen
"

9 September 2024
Gerakan Coblos Semua Paslon pada Pilkada karena Aspirasi Warga Tak Diwadahi Parpol
",http://nasional.kompas.com/read/2024/09/09/10510351/gerakan-coblos-semua-paslon-pada-pilkada-karena-aspirasi-warga-tak-diwadahi
View all,https://pemilu.kompas.com/galeri
"




30 Agustus 2024
PDI-P Daftar Pilkada Jabar pada Menit-menit Terakhir, Usung Jeje Wiradinata-Ronal Surapradja
",https://video.kompas.com/watch/1667504/pdi-p-daftar-pilkada-jabar-pada-menit-menit-terakhir-usung-jeje-wiradinata-ronal-surapradja
"




29 Agustus 2024
Jubir: Anies Ditawari Maju Pilkada Jabar, tapi Belum Memutuskan
",https://video.kompas.com/watch/1667193/jubir-anies-ditawari-maju-pilkada-jabar-tapi-belum-memutuskan
"




29 Agustus 2024
Bakal Umumkan Figur Kejutan di Pilkada Jabar, PDI-P: Bisa Bukan Kader
",https://video.kompas.com/watch/1666800/bakal-umumkan-figur-kejutan-di-pilkada-jabar-pdi-p-bisa-bukan-kader
View all,https://pemilu.kompas.com/agenda
"
            #pemilu2024
        ",https://www.kompas.com/tag/pemilu2024
"
            #pilpres2024
        ",https://www.kompas.com/tag/pilkada2024
"
            #Anies-Muhaimin
        ",https://www.kompas.com/tag/Anies-Muhaimin
"
            #Prabowo-Gibran
        ",https://www.kompas.com/tag/Prabowo-Gibran
"
            #Ganjar-Mahfud
        ",https://www.kompas.com/tag/Ganjar-Mahfud
"
            #KPU
        ",https://www.kompas.com/tag/kpu
"
            #kampanye
        ",https://www.kompas.com/tag/kampanye
"
            #debatcapres
        ",https://www.kompas.com/tag/debatcapres
"
            #debatcawapres
        ",https://www.kompas.com/tag/debatcawapres
"
            #quickcount
        ",https://www.kompas.com/tag/quick-count
View all,https://pemilu.kompas.com/podcast
"
Faldo Maldini Tiru Gaya Jokowi-Gibran di Tangerang | GASPOL
",javascript:void(0)
"
Pramono Anung Kirim Pesan ke Ridwan Kamil: Kita Berkompetisi Secara Sehat
",javascript:void(0)
"
Pramono Sempat Sodorkan Nama Ahok ke Megawati untuk Pilkada Jakarta
",javascript:void(0)
"
Rangkul Anies dan Ahok untuk Lawan Ridwan Kamil | GASPOL Ft. Pramono Anung
",javascript:void(0)
"
PKB Milik Siapa? | GASPOL! Documentary
",javascript:void(0)
"
Dari Parlemen Lantang Berjuang: Kisah Soetardjo, Sukaptinah, dan Sartono | GASPOL Documentary
",javascript:void(0)
