Link_Text,Link_URL,cleaned_text
"
                        Magis Jersey Putih Timnas Indonesia: Vietnam Dipermalukan, Selanjutnya Australia?
                    ",https://www.bola.net/tim_nasional/magis-jersey-putih-timnas-indonesia-vietnam-dipermalukan-selanjutnya-australia-b15369.html,magis jersey putih timnas indonesia vietnam dipermalukan australia
"
",https://www.bola.net/piala_eropa/hasil-lengkap-uefa-nations-league-2024-283a6a.html,
"
                        Hasil Lengkap UEFA Nations League 2024
                    ",https://www.bola.net/piala_eropa/hasil-lengkap-uefa-nations-league-2024-283a6a.html,hasil lengkap uefa nations league 2024
"
",https://www.bola.net/tim_nasional/ranking-fifa-timnas-indonesia-bakal-naik-5-tingkat-jika-kalahkan-australia-bagaimana-jika-kal-f1e76c.html,
"
                        Ranking FIFA Timnas Indonesia Bakal Naik 5 Tingkat jika Kalahkan Australia, Bagaimana jika Kalah?
                    ",https://www.bola.net/tim_nasional/ranking-fifa-timnas-indonesia-bakal-naik-5-tingkat-jika-kalahkan-australia-bagaimana-jika-kal-f1e76c.html,ranking fifa timnas indonesia 5 tingkat kalahkan australia kalah
"

4 Pertemuan Terakhir Indonesia vs Australia: Kebobolan 8, 3x Kalah dan 1x Imbang
",https://www.bola.net/tim_nasional/4-pertemuan-terakhir-indonesia-vs-australia-kebobolan-8-3x-kalah-dan-1x-imbang-d2796e.html,4 pertemuan indonesia vs australia kebobolan 8 3x kalah 1x imbang
"

Jadwal Indonesia vs Australia: Tayang di Mana dan Jam Berapa?
",https://www.bola.net/tim_nasional/jadwal-indonesia-vs-australia-tayang-di-mana-dan-jam-berapa-7a8ec2.html,jadwal indonesia vs australia tayang jam
"

Magis Jersey Putih Timnas Indonesia: Vietnam Dipermalukan, Selanjutnya Australia?
",https://www.bola.net/tim_nasional/magis-jersey-putih-timnas-indonesia-vietnam-dipermalukan-selanjutnya-australia-b15369.html,magis jersey putih timnas indonesia vietnam dipermalukan australia
"

Hasil Lengkap UEFA Nations League 2024
",https://www.bola.net/piala_eropa/hasil-lengkap-uefa-nations-league-2024-283a6a.html,hasil lengkap uefa nations league 2024
"

Ranking FIFA Timnas Indonesia Bakal Naik 5 Tingkat jika Kalahkan Australia, Bagaimana jika Kalah?
",https://www.bola.net/tim_nasional/ranking-fifa-timnas-indonesia-bakal-naik-5-tingkat-jika-kalahkan-australia-bagaimana-jika-kal-f1e76c.html,ranking fifa timnas indonesia 5 tingkat kalahkan australia kalah
,https://www.bola.net/open-play/,
"Shin Tae-yong: Australia Lebih Kuat Sejak Gabung Asia, Di Oseania Lawannya Cuma Selandia Baru",https://www.bola.net/open-play/shin-tae-yong-australia-lebih-kuat-sejak-gabung-asia-di-oseania-lawannya-cuma-selandia-baru-69072f.html,shin taeyong australia kuat gabung asia oseania lawannya selandia
VIDEO: Timnas Australia Tak Sabar Rasakan Atmosfer Bermain di Stadion Gelora Bung Karno,https://www.bola.net/open-play/video-timnas-australia-tak-sabar-rasakan-atmosfer-bermain-di-stadion-gelora-bung-karno-248ed6.html,video timnas australia sabar rasakan atmosfer bermain stadion gelora karno
Pengamanan Sesi Latihan Timnas Indonesia Diperketat Usai Dimas Drajad jadi Korban Pencurian,https://www.bola.net/open-play/pengamanan-sesi-latihan-timnas-indonesia-diperketat-usai-dimas-drajad-jadi-korban-pencurian-e682c7.html,pengamanan sesi latihan timnas indonesia diperketat dimas drajad korban pencurian
VIDEO: Latihan Terakhir Timnas Indonesia Jelang Lawan Australia,https://www.bola.net/open-play/video-latihan-terakhir-timnas-indonesia-jelang-lawan-australia-e58356.html,video latihan timnas indonesia jelang lawan australia
